Размер лабиринта	Aldous Broder	Sidewinder	binary tree	hunt and kill															
	мкс	мкс	мкс	мкс													Размер лабиринта	sidewinder	binary tree
10	0,07	0,01	0,01	0,02													50	0,01	0
20	0,33	0,02	0,02	0,05													100	0,34	0,24
30	0,92	0,05	0,03	0,13													150	1,19	0,79
40	1,78	0,07	0,06	0,29													200	2,81	1,69
50	3,24	0,12	0,1	0,57													250	4,9	2,92
60	4,55	0,17	0,13	1,08													300	6,51	4,52
70	6,89	0,25	0,19	1,71													350	9,34	6,36
80	8,91	0,31	0,24	2,74													400	12,69	8,57
90	12,04	0,39	0,3	4,1													450	16,09	11,13
100	15,49	0,48	0,37	6,04													500	20,25	14,06
110	19,01	0,58	0,45	8,53													550	24,86	17,3
120	23,81	0,69	0,55	11,74													600	29,98	20,87
130	28,12	0,81	0,64	16,07													650	35,53	25,01
140	32,54	0,94	0,74	22,07													700	41,6	29,05
150	39,81	1,09	0,85	27,79													750	48,01	33,55
160	45,23	1,22	0,98	51,63													800	55,09	38,49
170	51,58	1,38	1,11	62,33													850	62,58	43,69
180	60,62	1,55	1,25	78,2													900	70,31	49,22
190	65,13	1,73	1,38	101,23													950	78,98	55,2
200																	1000	88,15	61,26
																			
																			
																			
																			
																			
